epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.3896,0.66703,1.5974,0.91126,0.99965,1,0.995,0.96108,0.29358,0.86634,0.77857,0.000474812,0.000474812,0.000474812
2,186.486,0.45957,0.62084,0.84887,0.99977,1,0.995,0.97544,0.26069,0.43576,0.77006,0.000941729,0.000941729,0.000941729
3,277.954,0.42479,0.43451,0.84176,0.99978,1,0.995,0.97096,0.25399,0.27589,0.76859,0.00139921,0.00139921,0.00139921
4,367.021,0.37488,0.34497,0.82968,0.99976,1,0.995,0.99258,0.20937,0.24586,0.76542,0.00138656,0.00138656,0.00138656
5,456.424,0.34333,0.30732,0.82223,0.99978,1,0.995,0.99342,0.17689,0.19259,0.76172,0.00137241,0.00137241,0.00137241
6,548.25,0.33196,0.28144,0.82142,0.99975,1,0.995,0.99492,0.17256,0.17336,0.75499,0.00135826,0.00135826,0.00135826
7,638.364,0.29453,0.25669,0.81524,0.99982,1,0.995,0.99488,0.17795,0.17281,0.75416,0.00134412,0.00134412,0.00134412
8,726.704,0.30125,0.25645,0.81849,0.99977,1,0.995,0.9903,0.19158,0.17087,0.75725,0.00132997,0.00132997,0.00132997
9,815.493,0.2812,0.24227,0.81146,0.99978,1,0.995,0.99497,0.14982,0.14834,0.75394,0.00131582,0.00131582,0.00131582
10,92.0347,0.27401,0.23286,0.80949,0.99982,1,0.995,0.995,0.15009,0.15295,0.75263,0.00130168,0.00130168,0.00130168
11,189.044,0.2626,0.22381,0.80921,0.99983,1,0.995,0.99498,0.12866,0.13519,0.74941,0.00128753,0.00128753,0.00128753
12,93.1133,0.24222,0.21057,0.80395,0.99982,1,0.995,0.995,0.13575,0.13776,0.74817,0.00127338,0.00127338,0.00127338
13,184.809,0.23845,0.2035,0.80456,0.99979,1,0.995,0.99491,0.13904,0.14068,0.74947,0.00125923,0.00125923,0.00125923
14,276.371,0.24419,0.21353,0.80526,0.99983,1,0.995,0.995,0.14688,0.148,0.74964,0.00124509,0.00124509,0.00124509
15,368.81,0.23181,0.20166,0.8029,0.99982,1,0.995,0.9949,0.13691,0.12789,0.74928,0.00123094,0.00123094,0.00123094
16,459.15,0.22912,0.19963,0.80276,0.99983,1,0.995,0.995,0.11975,0.13169,0.74768,0.00121679,0.00121679,0.00121679
17,551.101,0.22677,0.19862,0.80696,0.99979,1,0.995,0.99496,0.13738,0.13284,0.74791,0.00120265,0.00120265,0.00120265
18,640.926,0.22434,0.19123,0.80347,0.99982,1,0.995,0.99493,0.12679,0.12326,0.74887,0.0011885,0.0011885,0.0011885
19,731.716,0.22177,0.18968,0.80516,0.99983,1,0.995,0.995,0.11649,0.11893,0.74831,0.00117435,0.00117435,0.00117435
20,822.301,0.21462,0.1861,0.80134,0.99989,1,0.995,0.995,0.10812,0.11407,0.74672,0.00116021,0.00116021,0.00116021
21,912.826,0.2151,0.18115,0.80316,0.99984,1,0.995,0.995,0.10793,0.10862,0.74616,0.00114606,0.00114606,0.00114606
22,1002.88,0.20508,0.18108,0.80317,0.99983,1,0.995,0.995,0.10878,0.11304,0.74488,0.00113191,0.00113191,0.00113191
23,1092.85,0.21095,0.18401,0.80279,0.99981,1,0.995,0.995,0.0931,0.10749,0.7447,0.00111776,0.00111776,0.00111776
24,1183.09,0.2086,0.18472,0.8074,0.99981,1,0.995,0.995,0.11119,0.11218,0.74691,0.00110362,0.00110362,0.00110362
25,1273.57,0.20111,0.17795,0.79991,0.99986,1,0.995,0.995,0.09211,0.1007,0.74427,0.00108947,0.00108947,0.00108947
26,1364.02,0.20168,0.17521,0.80283,0.99984,1,0.995,0.995,0.09088,0.09838,0.74413,0.00107532,0.00107532,0.00107532
27,1455.84,0.19705,0.17324,0.79974,0.99982,1,0.995,0.995,0.09627,0.09818,0.74507,0.00106118,0.00106118,0.00106118
28,1547.87,0.18763,0.16622,0.79801,0.99984,1,0.995,0.995,0.08936,0.09502,0.74398,0.00104703,0.00104703,0.00104703
29,1638.6,0.18923,0.16693,0.80132,0.99983,1,0.995,0.995,inf,0.09705,0.74347,0.00103288,0.00103288,0.00103288
30,1726.71,0.19532,0.17612,0.80331,0.99983,1,0.995,0.995,0.10277,0.10099,0.74578,0.00101873,0.00101873,0.00101873
31,1816.18,0.18416,0.1624,0.79982,0.99981,1,0.995,0.995,0.09826,0.09471,0.74465,0.00100459,0.00100459,0.00100459
32,1904.59,0.19036,0.17002,0.80196,0.99982,1,0.995,0.995,0.08516,0.09705,0.74351,0.00099044,0.00099044,0.00099044
33,1992.5,0.1841,0.16176,0.79657,0.99982,1,0.995,0.995,0.09972,0.10003,0.74401,0.000976293,0.000976293,0.000976293
34,2082.05,0.17831,0.15886,0.79869,0.99982,1,0.995,0.995,0.07513,0.09222,0.74325,0.000962146,0.000962146,0.000962146
35,2171.97,0.17669,0.15466,0.7986,0.99988,1,0.995,0.995,0.08377,0.09548,0.74301,0.000947999,0.000947999,0.000947999
36,2261.9,0.18131,0.16254,0.7999,0.99983,1,0.995,0.995,0.09199,0.0972,0.7445,0.000933851,0.000933851,0.000933851
37,2351.91,0.17773,0.15756,0.7991,0.99984,1,0.995,0.995,0.07276,0.08482,0.74211,0.000919704,0.000919704,0.000919704
38,2441.32,0.17822,0.15562,0.79864,0.99989,1,0.995,0.995,0.06978,0.08327,0.7419,0.000905557,0.000905557,0.000905557
39,2531.03,0.17289,0.15494,0.79945,0.99984,1,0.995,0.995,0.08695,0.09624,0.74247,0.00089141,0.00089141,0.00089141
40,2619.75,0.17353,0.15291,0.79505,0.99984,1,0.995,0.995,0.08288,0.09073,0.74175,0.000877263,0.000877263,0.000877263
41,2708.79,0.1644,0.14712,0.79634,0.99983,1,0.995,0.995,0.07394,0.08266,0.74214,0.000863116,0.000863116,0.000863116
42,2797.34,0.16252,0.14492,0.79606,0.99983,1,0.995,0.995,0.07584,0.08197,0.74234,0.000848969,0.000848969,0.000848969
43,2886.01,0.1628,0.1486,0.79464,0.99984,1,0.995,0.995,0.06894,0.08078,0.74232,0.000834822,0.000834822,0.000834822
44,2974.25,0.15933,0.14493,0.79363,0.99989,1,0.995,0.995,0.07614,0.08434,0.74176,0.000820675,0.000820675,0.000820675
45,3062.33,0.16581,0.14766,0.80097,0.99983,1,0.995,0.995,0.07279,0.08033,0.74176,0.000806528,0.000806528,0.000806528
46,3150.33,0.16042,0.14255,0.79733,0.99983,1,0.995,0.995,0.07014,0.07693,0.74129,0.00079238,0.00079238,0.00079238
47,3240.43,0.1562,0.13945,0.7959,0.99984,1,0.995,0.995,0.06717,0.07505,0.74198,0.000778233,0.000778233,0.000778233
48,3328.73,0.15113,0.13588,0.79479,0.99983,1,0.995,0.995,0.06216,0.07469,0.74138,0.000764086,0.000764086,0.000764086
49,3419.29,0.16018,0.14337,0.79834,0.99983,1,0.995,0.995,inf,0.08585,0.74228,0.000749939,0.000749939,0.000749939
50,3509.56,0.15333,0.13953,0.79567,0.99995,1,0.995,0.995,0.06289,0.07696,0.74093,0.000735792,0.000735792,0.000735792
51,3598.96,0.15018,0.13488,0.7946,0.99983,1,0.995,0.995,inf,0.07243,0.74053,0.000721645,0.000721645,0.000721645
52,3686.6,0.15284,0.13797,0.79483,0.99982,1,0.995,0.995,0.06242,0.07594,0.74129,0.000707498,0.000707498,0.000707498
53,3772.94,0.15813,0.14128,0.79532,0.99982,1,0.995,0.995,0.0609,0.07405,0.74101,0.000693351,0.000693351,0.000693351
54,3859.41,0.14898,0.13566,0.79411,0.99984,1,0.995,0.995,0.05489,0.07432,0.74009,0.000679204,0.000679204,0.000679204
55,3946.35,0.14563,0.13625,0.79649,0.99984,1,0.995,0.995,0.06481,0.07706,0.74045,0.000665057,0.000665057,0.000665057
56,4034.11,0.15053,0.13752,0.79779,0.99983,1,0.995,0.995,0.06585,0.07605,0.74134,0.000650909,0.000650909,0.000650909
57,4123.47,0.14269,0.12982,0.79411,0.99989,1,0.995,0.995,0.0598,0.0737,0.74047,0.000636762,0.000636762,0.000636762
58,4210.39,0.14644,0.13301,0.79451,0.99984,1,0.995,0.995,0.06078,0.06978,0.74044,0.000622615,0.000622615,0.000622615
59,4298.51,0.14417,0.1312,0.79384,0.99983,1,0.995,0.995,0.05683,0.06796,0.74027,0.000608468,0.000608468,0.000608468
60,4387.12,0.14024,0.1309,0.79376,0.99984,1,0.995,0.995,0.05449,0.0636,0.73977,0.000594321,0.000594321,0.000594321
61,4474.19,0.13985,0.12568,0.79316,0.99984,1,0.995,0.995,0.05265,0.06397,0.73971,0.000580174,0.000580174,0.000580174
62,4561.64,0.1367,0.12399,0.79451,0.99984,1,0.995,0.995,0.05512,0.06547,0.74014,0.000566027,0.000566027,0.000566027
63,4648.6,0.13739,0.1274,0.79465,0.99984,1,0.995,0.995,0.04943,0.06251,0.7397,0.00055188,0.00055188,0.00055188
64,4736.34,0.13841,0.12604,0.79547,0.9999,1,0.995,0.995,0.04999,0.06298,0.73984,0.000537733,0.000537733,0.000537733
65,4822.81,0.13385,0.12153,0.79366,0.99983,1,0.995,0.995,0.05063,0.06277,0.73979,0.000523586,0.000523586,0.000523586
66,4908.49,0.13033,0.11915,0.79095,0.99983,1,0.995,0.995,inf,0.06044,0.73921,0.000509438,0.000509438,0.000509438
67,4995.43,0.12949,0.11859,0.79423,0.99984,1,0.995,0.995,0.0458,0.06087,0.73976,0.000495291,0.000495291,0.000495291
68,5081.65,0.12539,0.11587,0.79587,0.99989,1,0.995,0.995,0.04696,0.0573,0.73954,0.000481144,0.000481144,0.000481144
69,5168.38,0.12889,0.11904,0.79417,0.99984,1,0.995,0.995,0.05013,0.06124,0.73955,0.000466997,0.000466997,0.000466997
70,5257.78,0.12746,0.11604,0.79515,0.99984,1,0.995,0.995,0.04704,0.05893,0.73953,0.00045285,0.00045285,0.00045285
71,5347.72,0.12687,0.11745,0.79296,0.99984,1,0.995,0.995,0.0446,0.05829,0.73917,0.000438703,0.000438703,0.000438703
72,5437.46,0.12229,0.11312,0.7907,0.9999,1,0.995,0.995,0.04286,0.05533,0.73907,0.000424556,0.000424556,0.000424556
73,5527.41,0.12579,0.11521,0.79257,0.99989,1,0.995,0.995,0.04317,0.05613,0.73914,0.000410409,0.000410409,0.000410409
74,5617.09,0.12378,0.1125,0.79428,0.99989,1,0.995,0.995,0.04358,0.05415,0.73909,0.000396262,0.000396262,0.000396262
75,5705.15,0.12175,0.11169,0.79346,0.9999,1,0.995,0.995,0.04101,0.05229,0.73899,0.000382115,0.000382115,0.000382115
76,5793.7,0.1193,0.11092,0.79227,0.99984,1,0.995,0.995,0.04484,0.05664,0.73923,0.000367967,0.000367967,0.000367967
77,5880.01,0.11454,0.1072,0.79252,0.9999,1,0.995,0.995,0.04133,0.05407,0.7393,0.00035382,0.00035382,0.00035382
78,5966.61,0.11389,0.1089,0.79028,0.99995,1,0.995,0.995,0.04262,0.05472,0.73913,0.000339673,0.000339673,0.000339673
79,6052.47,0.11706,0.11047,0.79245,0.99995,1,0.995,0.995,0.0404,0.05408,0.73894,0.000325526,0.000325526,0.000325526
80,6139.47,0.11684,0.10714,0.79073,0.99995,1,0.995,0.995,0.04093,0.05385,0.73889,0.000311379,0.000311379,0.000311379
81,6227.8,0.11362,0.10496,0.79166,1,1,0.995,0.995,0.04088,0.0529,0.73877,0.000297232,0.000297232,0.000297232
82,6316.7,0.11042,0.10152,0.78888,0.99995,1,0.995,0.995,0.0402,0.05187,0.73875,0.000283085,0.000283085,0.000283085
83,6406.48,0.10881,0.10317,0.79223,0.99995,1,0.995,0.995,0.03985,0.05075,0.73883,0.000268938,0.000268938,0.000268938
84,6494.66,0.11101,0.10116,0.79196,0.99989,1,0.995,0.995,0.03885,0.051,0.73881,0.000254791,0.000254791,0.000254791
85,6582.16,0.10821,0.10104,0.7882,0.99995,1,0.995,0.995,0.03783,0.05101,0.7388,0.000240644,0.000240644,0.000240644
86,6669.98,0.10643,0.09783,0.78907,1,1,0.995,0.995,0.0388,0.04985,0.73876,0.000226497,0.000226497,0.000226497
